content_id,client_id,search_volume,competition,competition_level,cpc,content_type,main_intent,word_count,char_count,provider_used,model_used,impressions_90d,clicks_90d,pageviews_90d,sessions_90d,users_90d,engaged_sessions_90d,ai_sessions_90d,scroll_events_90d,days_with_impressions,days_with_sessions,impressions_last_30d,clicks_last_30d,sessions_last_30d,impressions_prev_30d,clicks_prev_30d,sessions_prev_30d,content_age_days,age_tier,age_tier_order,days_since_last_update,freshness_tier,word_count_tier,char_count_tier,ctr,avg_position,engagement_rate,scroll_rate,ai_traffic_pct,impression_tier,position_tier,trend_direction,trend_pct,target_decline,staleness_score,expected_ctr,ctr_gap,ctr_defect_score,baseline_score,decay_risk_score,action_label,reason_code
content_868447a1b9c7,client_4e07408562,20.0,0.0,LOW,0.0,keyword article,commercial,2770.0,16844.0,,gemini-3-flash-preview,4641,47,45,43,41,6,0,9,88,30,1634,17,18,1201,10,15,421,365+,6,25,0-30,2000-3500,15000-25000,1.01,9.7,13.95,20.0,0.0,good,page_1,up,36.1,0,0.7464539007092199,0.09345794392523366,0.0,0.0,0.37322695035460995,0.48499136947529253,MONITOR_ONLY,STABLE_PERFORMANCE
content_f8cede80bc31,client_19581e27de,10.0,0.0,LOW,0.0,keyword article,informational,,,,,2462,1,77,76,75,0,0,0,88,12,1133,0,57,946,1,19,362,181-365,5,104,91-180,,,0.04,12.1,0.0,0.0,0.0,moderate,striking,stable,19.8,0,0.6418439716312057,0.07633587786259542,0.03633587786259542,0.03633587786259542,0.33908992474690053,0.4849161752810948,MONITOR_ONLY,STABLE_PERFORMANCE
content_eadb4459be2a,client_19581e27de,90.0,0.17,LOW,0.09,keyword article,informational,,,,,2763,1,56,56,56,0,0,0,88,11,1130,1,48,963,0,8,417,365+,6,22,0-30,,,0.04,11.3,0.0,0.0,0.0,moderate,striking,stable,17.3,0,0.7393617021276596,0.08130081300813008,0.04130081300813008,0.04130081300813008,0.39033125756789483,0.4849161752810948,MONITOR_ONLY,STABLE_PERFORMANCE
content_17bc5504b14b,client_19581e27de,480.0,0.03,LOW,0.0,keyword article,informational,,,,,550,2,12,12,12,0,0,0,86,9,142,1,6,236,1,5,441,365+,6,22,0-30,,,0.36,20.4,0.0,0.0,0.0,moderate,page_3_5,down,-39.8,1,0.7819148936170213,0.04672897196261683,0.0,0.0,0.39095744680851063,0.48490988633217197,MONITOR_ONLY,STABLE_PERFORMANCE
content_b17ab26b4892,client_19581e27de,50.0,0.03,LOW,0.0,keyword article,informational,,,,,8220,4,28,27,27,0,0,0,88,15,1757,1,12,3129,2,11,362,181-365,5,104,91-180,,,0.05,7.7,0.0,0.0,0.0,good,page_1,down,-43.8,1,0.6418439716312057,0.1149425287356322,0.0649425287356322,0.0649425287356322,0.35339325018341894,0.48490773243647595,MONITOR_ONLY,STABLE_PERFORMANCE
content_3f3d767eeae2,client_19581e27de,10.0,0.11,LOW,0.16,keyword article,informational,,,,,8181,9,40,27,27,4,0,5,88,20,2786,2,16,2848,5,8,417,365+,6,22,0-30,,,0.11,6.6,14.81,12.5,0.0,good,page_1,stable,-2.2,0,0.7393617021276596,0.13157894736842105,0.021578947368421045,0.021578947368421045,0.3804703247480403,0.48490773243647595,MONITOR_ONLY,STABLE_PERFORMANCE
content_a9cf6e4b3d9f,client_19581e27de,20.0,0.0,LOW,0.0,keyword article,informational,,,,,6365,9,29,26,25,0,0,1,88,22,2099,4,11,2275,3,11,417,365+,6,22,0-30,,,0.14,6.3,0.0,3.45,0.0,good,page_1,stable,-7.7,0,0.7393617021276596,0.136986301369863,0.0,0.0,0.3696808510638298,0.48490773243647595,MONITOR_ONLY,STABLE_PERFORMANCE
content_b8300b053e43,client_4e07408562,140.0,0.02,LOW,0.0,keyword article,informational,,,,gpt-4o-mini,7983,20,28,24,23,2,0,5,88,21,2494,7,9,1939,3,5,390,365+,6,104,91-180,,,0.25,5.9,8.33,17.86,0.0,good,page_1,up,28.6,0,0.6914893617021277,0.14492753623188406,0.0,0.0,0.34574468085106386,0.48490773243647595,MONITOR_ONLY,STABLE_PERFORMANCE
content_bb4395c0c2ed,client_19581e27de,140.0,0.1,LOW,0.08,keyword article,commercial,,,,,9694,8,26,26,26,1,0,2,88,15,1606,0,16,2882,4,8,362,181-365,5,104,91-180,,,0.08,7.2,3.85,7.69,0.0,good,page_1,down,-44.3,1,0.6418439716312057,0.12195121951219513,0.04195121951219513,0.04195121951219513,0.3418975955717004,0.48490773243647595,MONITOR_ONLY,STABLE_PERFORMANCE
content_29c0b20b96b8,client_19581e27de,10.0,0.29,LOW,0.0,keyword article,commercial,,,,,3557,15,46,42,41,1,0,4,88,31,884,5,18,1182,8,17,421,365+,6,22,0-30,,,0.42,6.2,2.38,8.7,0.0,good,page_1,down,-25.2,1,0.7464539007092199,0.1388888888888889,0.0,0.0,0.37322695035460995,0.48489801238943636,MONITOR_ONLY,STABLE_PERFORMANCE
content_ec42a00fd181,client_19581e27de,10.0,0.33,MEDIUM,0.0,keyword article,informational,,,,,3629,1,40,40,40,1,0,1,88,22,1140,0,15,1333,1,20,421,365+,6,22,0-30,,,0.03,8.5,2.5,2.5,0.0,good,page_1,stable,-14.5,0,0.7464539007092199,0.10526315789473684,0.07526315789473684,0.07526315789473684,0.41085852930197836,0.48489801238943636,MONITOR_ONLY,STABLE_PERFORMANCE
content_f364ebec9142,client_19581e27de,10.0,0.0,LOW,0.0,keyword article,informational,,,,,2755,0,35,35,35,1,0,1,85,13,133,0,22,785,0,12,421,365+,6,22,0-30,,,0.0,9.0,2.86,2.86,0.0,moderate,page_1,down,-83.1,1,0.7464539007092199,0.1,0.1,0.1,0.42322695035460994,0.48489801238943636,OPT_TITLE_META,LOW_CTR_GOOD_POSITION
content_0e2d4fe5400c,client_19581e27de,170.0,0.04,LOW,0.16,keyword article,informational,,,,,3605,3,47,47,47,0,0,0,88,16,1149,0,35,1647,1,10,421,365+,6,22,0-30,,,0.08,8.0,0.0,0.0,0.0,good,page_1,down,-30.2,1,0.7464539007092199,0.1111111111111111,0.031111111111111103,0.031111111111111103,0.3887825059101655,0.48489801238943636,MONITOR_ONLY,STABLE_PERFORMANCE
content_59a1a9b96b36,client_19581e27de,90.0,0.87,HIGH,0.21,keyword article,transactional,,,,,3453,8,50,45,40,1,0,3,88,26,1022,1,17,1292,3,23,421,365+,6,22,0-30,,,0.23,7.4,2.22,6.0,0.0,good,page_1,down,-20.9,1,0.7464539007092199,0.11904761904761904,0.0,0.0,0.37322695035460995,0.48489801238943636,MONITOR_ONLY,STABLE_PERFORMANCE
content_9b6fe1b0aa1a,client_19581e27de,30.0,0.11,LOW,0.1,keyword article,transactional,,,,,2058,2,18,12,9,0,0,0,88,7,435,0,8,864,1,4,313,181-365,5,104,91-180,,,0.1,24.4,0.0,0.0,0.0,moderate,page_3_5,down,-49.7,1,0.5549645390070922,0.03937007874015748,0.0,0.0,0.2774822695035461,0.48488615095170573,MONITOR_ONLY,STABLE_PERFORMANCE
content_f5066ba28599,client_19581e27de,20.0,0.44,MEDIUM,0.17,keyword article,transactional,,,,,5237,2,27,26,26,1,0,1,88,14,589,0,20,1480,1,4,417,365+,6,22,0-30,,,0.04,4.5,3.85,3.7,0.0,good,page_1,down,-60.2,1,0.7393617021276596,0.18181818181818182,0.14181818181818182,0.14181818181818182,0.44058994197292073,0.4848690145695653,MONITOR_ONLY,STABLE_PERFORMANCE
